Date,USDINR18DEC72.25CE O,USDINR18DEC72.25CE H,USDINR18DEC72.25CE L,USDINR18DEC72.25CE C,USDINR18DEC72.25CE V
11/30/2018 10:36:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 10:35:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 10:34:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 10:33:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 10:32:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 10:31:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 10:30:00 AM,0.0625,0.0625,0.0625,0.0625,120
11/30/2018 10:29:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 10:28:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 10:27:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 10:26:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 10:25:00 AM,0.0625,0.0625,0.0625,0.0625,1
11/30/2018 10:24:00 AM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 10:23:00 AM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 10:22:00 AM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 10:21:00 AM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 10:20:00 AM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 10:19:00 AM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 10:18:00 AM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 10:17:00 AM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 10:16:00 AM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 10:15:00 AM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 10:14:00 AM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 10:13:00 AM,0.0675,0.0675,0.0675,0.0675,81
11/30/2018 10:12:00 AM,0.065,0.0675,0.065,0.0675,26
11/30/2018 10:11:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 10:10:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 10:09:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 10:08:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 10:07:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 10:06:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 10:05:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 10:04:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 10:03:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 10:02:00 AM,0.065,0.065,0.065,0.065,102
11/30/2018 10:01:00 AM,0.065,0.065,0.065,0.065,123
11/30/2018 10:00:00 AM,0.065,0.065,0.065,0.065,12
11/30/2018 9:59:00 AM,0.0625,0.065,0.0625,0.065,11
11/30/2018 9:58:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 9:57:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 9:56:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 9:55:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 9:54:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 9:53:00 AM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 9:52:00 AM,0.06,0.0625,0.06,0.0625,11
11/30/2018 9:51:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:50:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:49:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:48:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:47:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:46:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:45:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:44:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:43:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:42:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:41:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:40:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:39:00 AM,0.06,0.06,0.06,0.06,10
11/30/2018 9:38:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:37:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:36:00 AM,0.0575,0.06,0.0575,0.06,306
11/30/2018 9:35:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:34:00 AM,0.06,0.06,0.06,0.06,0
11/30/2018 9:33:00 AM,0.065,0.065,0.06,0.06,8
11/30/2018 9:32:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:31:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:30:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:29:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:28:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:27:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:26:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:25:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:24:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:23:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:22:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:21:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:20:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:19:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:18:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:17:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:16:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:15:00 AM,0.065,0.065,0.065,0.065,1
11/30/2018 9:14:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:13:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:12:00 AM,0.065,0.065,0.065,0.065,0
11/30/2018 9:11:00 AM,0.0625,0.065,0.0625,0.065,101
11/30/2018 9:10:00 AM,0.0775,0.0775,0.0775,0.0775,0
11/30/2018 9:09:00 AM,0.0775,0.0775,0.0775,0.0775,0
11/30/2018 9:08:00 AM,0.0775,0.0775,0.0775,0.0775,0
11/30/2018 9:07:00 AM,0.0775,0.0775,0.0775,0.0775,0
11/30/2018 9:06:00 AM,0.0775,0.0775,0.0775,0.0775,0
11/30/2018 9:05:00 AM,0.0775,0.0775,0.0775,0.0775,0
11/30/2018 9:04:00 AM,0.0775,0.0775,0.0775,0.0775,0
11/30/2018 9:03:00 AM,0.0775,0.0775,0.0775,0.0775,0
11/30/2018 9:02:00 AM,0.0775,0.0775,0.0775,0.0775,0
11/30/2018 9:01:00 AM,0.0775,0.0775,0.0775,0.0775,0
11/30/2018 9:00:00 AM,0.0775,0.0775,0.0775,0.0775,1
11/29/2018 4:59:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:58:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:57:00 PM,0.0775,0.0775,0.0775,0.0775,32
11/29/2018 4:56:00 PM,0.0825,0.0825,0.0775,0.0775,68
11/29/2018 4:55:00 PM,0.0825,0.0825,0.0825,0.0825,0
11/29/2018 4:54:00 PM,0.08,0.0825,0.08,0.0825,50
11/29/2018 4:53:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:52:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:51:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:50:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:49:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:48:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:47:00 PM,0.08,0.08,0.08,0.08,4
11/29/2018 4:46:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:45:00 PM,0.08,0.08,0.08,0.08,50
11/29/2018 4:44:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:43:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:42:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:41:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:40:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:39:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:38:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:37:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 4:36:00 PM,0.0775,0.08,0.0775,0.08,1
11/29/2018 4:35:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:34:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:33:00 PM,0.0775,0.0775,0.0775,0.0775,33
11/29/2018 4:32:00 PM,0.0775,0.0775,0.0775,0.0775,265
11/29/2018 4:31:00 PM,0.0775,0.0775,0.0775,0.0775,598
11/29/2018 4:30:00 PM,0.075,0.0775,0.075,0.0775,604
11/29/2018 4:29:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 4:28:00 PM,0.075,0.075,0.075,0.075,3
11/29/2018 4:27:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:26:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:25:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:24:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:23:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:22:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:21:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:20:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:19:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:18:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:17:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:16:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:15:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:14:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:13:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:12:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:11:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:10:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:09:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:08:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:07:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:06:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:05:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:04:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:03:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:02:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:01:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 4:00:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:59:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:58:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:57:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:56:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:55:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:54:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:53:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:52:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:51:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:50:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:49:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:48:00 PM,0.0775,0.0775,0.0775,0.0775,340
11/29/2018 3:47:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 3:46:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 3:45:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 3:44:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 3:43:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 3:42:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 3:41:00 PM,0.0725,0.0725,0.0725,0.0725,1
11/29/2018 3:40:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:39:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:38:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:37:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:36:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:35:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:34:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:33:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:32:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:31:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:30:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:29:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:28:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:27:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:26:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:25:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:24:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:23:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:22:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:21:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:20:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:19:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:18:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:17:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:16:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:15:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:14:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:13:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:12:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:11:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:10:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:09:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 3:08:00 PM,0.0775,0.0775,0.0775,0.0775,1
11/29/2018 3:07:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 3:06:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 3:05:00 PM,0.0725,0.075,0.0725,0.075,6
11/29/2018 3:04:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 3:03:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 3:02:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 3:01:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 3:00:00 PM,0.0725,0.0725,0.0725,0.0725,16
11/29/2018 2:59:00 PM,0.0775,0.0775,0.0725,0.0725,1
11/29/2018 2:58:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 2:57:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 2:56:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 2:55:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 2:54:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 2:53:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 2:52:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 2:51:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 2:50:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 2:49:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 2:48:00 PM,0.075,0.0775,0.075,0.0775,50
11/29/2018 2:47:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 2:46:00 PM,0.0775,0.0775,0.075,0.075,18
11/29/2018 2:45:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 2:44:00 PM,0.0725,0.0775,0.0725,0.0775,36
11/29/2018 2:43:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:42:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:41:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:40:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:39:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:38:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:37:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:36:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:35:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:34:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:33:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:32:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:31:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:30:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:29:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:28:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:27:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:26:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:25:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:24:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:23:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:22:00 PM,0.0725,0.0725,0.0725,0.0725,4
11/29/2018 2:21:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:20:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:19:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:18:00 PM,0.0725,0.0725,0.0725,0.0725,0
11/29/2018 2:17:00 PM,0.08,0.08,0.0725,0.0725,51
11/29/2018 2:16:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 2:15:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 2:14:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 2:13:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 2:12:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 2:11:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 2:10:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 2:09:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 2:08:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 2:07:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 2:06:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 2:05:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 2:04:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 2:03:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 2:02:00 PM,0.0775,0.08,0.0775,0.08,1
11/29/2018 2:01:00 PM,0.075,0.0775,0.075,0.0775,1
11/29/2018 2:00:00 PM,0.075,0.075,0.075,0.075,1
11/29/2018 1:59:00 PM,0.075,0.075,0.075,0.075,1
11/29/2018 1:58:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:57:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:56:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:55:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:54:00 PM,0.075,0.075,0.075,0.075,75
11/29/2018 1:53:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:52:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:51:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:50:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:49:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:48:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:47:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:46:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:45:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:44:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:43:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:42:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:41:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:40:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:39:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:38:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:37:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:36:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:35:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:34:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:33:00 PM,0.08,0.08,0.0775,0.0775,7
11/29/2018 1:32:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 1:31:00 PM,0.08,0.08,0.08,0.08,6
11/29/2018 1:30:00 PM,0.0775,0.08,0.0775,0.08,22
11/29/2018 1:29:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:28:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:27:00 PM,0.0775,0.0775,0.0775,0.0775,100
11/29/2018 1:26:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:25:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:24:00 PM,0.0775,0.0775,0.0775,0.0775,12
11/29/2018 1:23:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:22:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:21:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:20:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:19:00 PM,0.0775,0.0775,0.0775,0.0775,5
11/29/2018 1:18:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:17:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 1:16:00 PM,0.075,0.0775,0.075,0.0775,50
11/29/2018 1:15:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:14:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:13:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:12:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:11:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:10:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:09:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:08:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:07:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:06:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:05:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:04:00 PM,0.075,0.075,0.075,0.075,0
11/29/2018 1:03:00 PM,0.0775,0.0775,0.075,0.075,53
11/29/2018 1:02:00 PM,0.08,0.08,0.0775,0.0775,15
11/29/2018 1:01:00 PM,0.0775,0.08,0.0775,0.08,257
11/29/2018 1:00:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:59:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:58:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:57:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:56:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:55:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:54:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:53:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:52:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:51:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:50:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:49:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:48:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:47:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:46:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:45:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:44:00 PM,0.08,0.08,0.0775,0.0775,20
11/29/2018 12:43:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:42:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:41:00 PM,0.08,0.08,0.08,0.08,30
11/29/2018 12:40:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:39:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:38:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:37:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:36:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:35:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:34:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:33:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:32:00 PM,0.08,0.08,0.08,0.08,10
11/29/2018 12:31:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:30:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:29:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:28:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:27:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:26:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:25:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:24:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:23:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:22:00 PM,0.0775,0.08,0.0775,0.08,4
11/29/2018 12:21:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:20:00 PM,0.0775,0.0775,0.0775,0.0775,0
11/29/2018 12:19:00 PM,0.08,0.08,0.0775,0.0775,36
11/29/2018 12:18:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:17:00 PM,0.08,0.08,0.08,0.08,0
11/29/2018 12:16:00 PM,0.08,0.08,0.08,0.08,17
